Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-March-2022,949.95,955.00,882.40,886.85,890.049443260843349278,24877,1383,22141760.00,5875,23.62,72.60,-63.10
9-March-2022,918.00,927.00,890.00,895.40,912.260472787245739417,18190,2292,16594018.00,4479,24.62,37.00,-22.60
8-March-2022,920.00,941.35,889.55,914.40,907.274472851402766418,28123,2663,25515280.00,10784,38.35,51.80,-5.60
7-March-2022,877.00,943.95,856.20,919.90,914.702370526951532538,66230,4472,60580738.00,15618,23.58,87.75,42.90
4-March-2022,877.00,892.30,854.80,878.25,871.845518581491377216,20585,1914,17946940.00,9396,45.64,37.50,1.25
3-March-2022,836.00,888.00,820.15,878.50,867.043233361332081624,40478,2919,35096176.00,9234,22.81,67.85,42.50
2-March-2022,814.90,836.20,805.80,813.40,821.468972895863052781,8412,762,6910197.00,2698,32.07,30.40,-1.50
28-February-2022,808.00,823.85,806.00,814.90,815.294789868930453845,21439,2093,17479105.00,6394,29.82,17.85,6.90
25-February-2022,791.50,827.20,791.50,810.65,817.919570267131242740,10332,855,8450745.00,5463,52.87,35.70,19.15
24-February-2022,814.00,816.80,784.80,791.05,797.005730821606899682,17624,1687,14046429.00,7831,44.43,32.00,-22.95
23-February-2022,854.90,854.90,824.85,830.60,840.438855314610735869,5626,659,4728309.00,2559,45.49,30.05,-24.30
22-February-2022,829.00,848.60,808.00,838.10,831.978901173094775930,11849,1036,9858118.00,3220,27.18,40.60,9.10
21-February-2022,864.90,864.90,837.30,849.05,847.421621621621621621,10175,1115,8622515.00,2904,28.54,27.60,-15.85
18-February-2022,875.00,876.25,861.35,871.65,869.469992375558218059,9181,1228,7982604.00,3853,41.97,14.90,-3.35
17-February-2022,884.20,902.00,868.65,875.20,886.679300291545189504,6517,903,5778489.00,1705,26.16,33.35,-9.00
16-February-2022,897.00,906.80,880.00,884.95,890.098918431726002703,13314,1638,11850777.00,3581,26.90,26.80,-12.05
15-February-2022,885.00,907.20,869.05,895.45,888.550956783487422059,18604,1835,16530602.00,6411,34.46,38.15,10.45
14-February-2022,840.10,894.50,840.10,879.15,875.272688447576339953,28098,2888,24593412.00,10813,38.48,54.40,39.05
11-February-2022,901.30,901.40,874.00,886.95,885.093605800922874093,22755,2488,20140305.00,9522,41.85,27.40,-14.35
10-February-2022,910.00,919.15,894.10,901.80,907.472389648825206626,55414,2100,50286675.00,10825,19.53,25.05,-8.20
9-February-2022,915.00,930.05,910.80,912.90,917.683781190019193857,10420,1314,9562265.00,5131,49.24,19.25,-2.10
8-February-2022,943.30,948.05,910.00,915.10,924.710060838215412347,17752,1870,16415453.00,7522,42.37,38.05,-28.20
7-February-2022,963.00,968.55,935.05,937.60,943.744737668865849827,6366,570,6007879.00,2487,39.07,33.50,-25.40
4-February-2022,965.00,984.10,956.75,959.85,970.365316099096859723,12069,1164,11711339.00,5185,42.96,27.35,-5.15
3-February-2022,1003.00,1003.00,962.00,967.85,980.983734779130743933,11251,1223,11037048.00,4498,39.98,41.00,-35.15
2-February-2022,990.60,1007.80,975.15,1001.70,996.737648026904225251,27951,1838,27859814.00,17893,64.02,32.65,11.10
1-February-2022,948.00,981.00,943.25,977.10,958.765961305925030229,16540,1208,15857989.00,7943,48.02,37.75,29.10
31-January-2022,966.30,966.30,922.60,936.15,932.942275648655082123,8402,680,7838581.00,3381,40.24,43.70,-30.15
28-January-2022,930.00,948.00,911.90,916.60,930.772130992827482068,21192,2975,19724923.00,6544,30.88,36.10,-13.40
27-January-2022,929.00,929.00,902.65,909.45,910.767475627463181912,24105,2318,21954050.00,9757,40.48,26.35,-19.55
25-January-2022,935.00,961.90,915.50,931.15,939.127772966491239757,30022,3904,28194494.00,11351,37.81,46.40,-3.85
24-January-2022,957.00,982.50,918.55,941.25,952.977223628171100549,32402,4138,30878368.00,9962,30.74,63.95,-15.75
21-January-2022,1004.00,1010.00,935.00,956.70,974.970672770769151334,58103,6424,56648721.00,19367,33.33,75.00,-47.30
20-January-2022,980.00,993.50,965.00,976.20,976.612310375977322991,32103,4049,31352185.00,13466,41.95,28.50,-3.80
19-January-2022,1010.75,1023.25,976.00,986.30,997.931306014609128114,19303,3089,19263068.00,8716,45.15,47.25,-24.45
18-January-2022,1023.00,1046.35,1001.00,1010.75,1029.969626066987304475,23079,2632,23770669.00,8864,38.41,45.35,-12.25
17-January-2022,1015.15,1039.70,1015.15,1023.90,1021.219806338028169014,11360,1162,11601057.00,5750,50.62,24.55,8.75
14-January-2022,1037.40,1037.45,1015.25,1025.30,1023.169294534888689484,23403,3510,23945231.00,11755,50.23,22.20,-12.10
13-January-2022,1042.00,1051.45,1032.15,1037.40,1041.450403620352250489,16352,2066,17029797.00,6527,39.92,19.30,-4.60
12-January-2022,1078.85,1078.85,1033.45,1042.70,1044.450733226195259140,19912,2824,20797103.00,9328,46.85,45.40,-36.15
11-January-2022,1024.30,1062.75,1024.30,1054.40,1052.336059743954480796,11248,1793,11836676.00,2414,21.46,38.45,30.10
10-January-2022,1026.00,1054.00,1008.60,1042.00,1034.472235368354630067,38034,4516,39345117.00,14536,38.22,45.40,16.00
7-January-2022,1050.00,1053.10,1014.00,1026.00,1036.384368117149830347,16799,2477,17410221.00,8125,48.37,39.10,-24.00
6-January-2022,1060.00,1060.00,1034.15,1050.40,1044.662496672877295714,22542,3220,23548782.00,10572,46.90,25.85,-9.60
